Date,Usage,Temp,ph,TDS,MeterReading
1988-09-28,70.34,24.448,6.664773068,20791.31898,70.34
1988-09-29,77.36,24.448,7.486621506,18630.05786,147.7
1988-09-30,53.01,24.448,6.793701987,18630.05786,200.70999999999998
1988-10-01,70.08,24.448,7.87717906,18630.05786,270.78999999999996
1988-10-02,62.35,24.545,7.660873499,19909.54173,333.14
1988-10-03,62.56,24.545,7.532138195,19909.54173,395.7
1988-10-04,68.93,24.545,6.579439201,19909.54173,464.63
1988-10-05,72.62,24.545,6.815721579,19909.54173,537.25
1988-10-06,68.09,24.448,6.719629002,22018.41744,605.34
1988-10-07,51.12,24.448,6.523700878,22018.41744,656.46
1988-10-08,79.18,24.448,6.388328102,22018.41744,735.6400000000001
1988-10-09,72.49,24.448,7.577395495,22018.41744,808.1300000000001
1988-10-10,65.88,24.351,6.806395017,17978.98634,874.0100000000001
1988-10-11,55.47,24.351,7.299100095,17978.98634,929.4800000000001
1988-10-12,56.3,24.351,7.673502116,17978.98634,985.7800000000001
1988-10-13,53.87,24.351,7.191582828,17978.98634,1039.65
1988-10-14,76.27,24.351,6.400168064,28748.68774,1115.92
1988-10-15,63.06,24.351,6.714791542,28748.68774,1178.98
1988-10-16,69.21,24.351,6.666268693,28748.68774,1248.19
1988-10-17,79.79,24.351,7.446995814,28748.68774,1327.98
1988-10-18,78.33,24.545,7.156202803,28749.71654,1406.31
1988-10-19,56.88,24.545,6.994472439,28749.71654,1463.19
1988-10-20,60.22,24.545,7.091406534,28749.71654,1523.41
1988-10-21,69.24,24.545,7.883543724,28749.71654,1592.65
1988-10-22,79.26,24.641,6.482948006,13672.09176,1671.91
1988-10-23,58.43,24.641,7.615405179,13672.09176,1730.3400000000001
1988-10-24,67.31,24.641,6.179141135,13672.09176,1797.65
1988-10-25,57.6,24.641,6.722091329,13672.09176,1855.25
1988-10-26,68.79,24.641,7.936995148,14285.58385,1924.04
1988-10-27,50.72,24.641,6.857344224,14285.58385,1974.76
1988-10-28,60.18,24.641,7.962624421,14285.58385,2034.94
1988-10-29,58.07,24.641,7.876491979,14285.58385,2093.01
1988-10-30,77.36,24.641,7.777083437,25484.50849,2170.3700000000003
1988-10-31,77.96,24.641,6.675175439,25484.50849,2248.3300000000004
1988-11-01,65.63,24.641,6.63760241,25484.50849,2313.9600000000005
1988-11-02,56.72,24.641,6.767820026,25484.50849,2370.6800000000003
1988-11-03,63.31,24.738,6.574862526,32452.61441,2433.9900000000002
1988-11-04,55.42,24.738,6.394848996,32452.61441,2489.4100000000003
1988-11-05,63.32,24.738,7.553611918,32452.61441,2552.7300000000005
1988-11-06,60.59,24.738,7.703346029,32452.61441,2613.3200000000006
1988-11-07,56.95,24.738,6.976807796,18767.65668,2670.2700000000004
1988-11-08,50.8,24.738,7.862169113,18767.65668,2721.0700000000006
1988-11-09,57.41,24.738,6.06002624,18767.65668,2778.4800000000005
1988-11-10,64.18,24.738,7.038124355,18767.65668,2842.6600000000003
1988-11-11,77.18,24.835,6.250668418,18730.81365,2919.84
1988-11-12,76.18,24.835,6.196977489,18730.81365,2996.02
1988-11-13,68.91,24.835,6.854733287,18730.81365,3064.93
1988-11-14,79.56,24.835,6.090307826,18730.81365,3144.49
1988-11-15,61.66,24.931,6.13066398,27331.36196,3206.1499999999996
1988-11-16,70.05,24.931,6.899042897,27331.36196,3276.2
1988-11-17,64.06,24.931,6.207967908,27331.36196,3340.2599999999998
1988-11-18,76.93,24.931,6.103441313,27331.36196,3417.1899999999996
1988-11-19,60.02,24.835,7.908766065,28388.00489,3477.2099999999996
1988-11-20,55.4,24.835,6.33016013,28388.00489,3532.6099999999997
1988-11-21,56.53,24.835,6.405653091,28388.00489,3589.14
1988-11-22,78.08,24.835,7.226114973,28388.00489,3667.22
1988-11-23,67.27,24.835,6.643543376,41065.23476,3734.49
1988-11-24,56.55,24.835,6.285868594,41065.23476,3791.04
1988-11-25,59.43,24.835,7.990058071,41065.23476,3850.47
1988-11-26,61.9,24.835,6.120953245,41065.23476,3912.37
1988-11-27,53.69,24.835,7.844406081,30980.60079,3966.06
1988-11-28,77.65,24.835,6.785907727,30980.60079,4043.71
1988-11-29,71.07,24.835,6.5861012,30980.60079,4114.78
1988-11-30,51.86,24.835,7.441451868,30980.60079,4166.639999999999
1988-12-01,79.57,24.931,6.917606047,24041.32628,4246.209999999999
1988-12-02,67.95,24.931,7.687487882,24041.32628,4314.159999999999
1988-12-03,58.99,24.931,7.517898623,24041.32628,4373.149999999999
1988-12-04,67.24,24.931,7.879507407,24041.32628,4440.3899999999985
1988-12-05,70.31,24.835,6.422866642,19460.39813,4510.699999999999
1988-12-06,75.37,24.835,7.070181708,19460.39813,4586.069999999999
1988-12-07,52.46,24.835,6.571058389,19460.39813,4638.529999999999
1988-12-08,56.8,24.835,6.531572947,19460.39813,4695.329999999999
1988-12-09,55.83,24.835,6.594902684,25630.32004,4751.159999999999
1988-12-10,52.19,24.835,7.051112317,25630.32004,4803.3499999999985
1988-12-11,66.1,24.835,7.144050715,25630.32004,4869.449999999999
1988-12-12,54.09,24.835,7.153041542,25630.32004,4923.539999999999
1988-12-13,69.68,24.931,7.623659492,22305.56741,4993.219999999999
1988-12-14,54.46,24.931,7.300177673,22305.56741,5047.679999999999
1988-12-15,54.82,24.931,7.724937133,22305.56741,5102.499999999999
1988-12-16,63.68,24.931,6.378954456,22305.56741,5166.179999999999
1988-12-17,55.83,24.931,7.789763967,30944.36359,5222.009999999999
1988-12-18,69.57,24.931,6.796979646,30944.36359,5291.579999999999
1988-12-19,73.34,24.931,6.621043964,30944.36359,5364.919999999999
1988-12-20,68.0,24.931,7.85310289,30944.36359,5432.919999999999
1988-12-21,73.5,24.931,7.900655388,17107.22423,5506.419999999999
1988-12-22,56.95,24.931,7.583650578,17107.22423,5563.369999999999
1988-12-23,55.43,24.931,7.796411681,17107.22423,5618.799999999999
1988-12-24,11.89,24.931,6.302491784,17107.22423,5630.69
1988-12-25,59.52,25.028,7.527593595,21167.5001,5690.21
1988-12-26,61.41,25.028,7.58750068,21167.5001,5751.62
1988-12-27,51.39,25.028,7.737610771,21167.5001,5803.01
1988-12-28,67.55,25.028,6.34162733,21167.5001,5870.56
1988-12-29,64.36,25.319,6.641645079,17266.59342,5934.92
1988-12-30,65.6,25.319,6.040267187,17266.59342,6000.52
1988-12-31,50.53,25.319,7.826095772,17266.59342,6051.05
1989-01-01,13.0,25.319,7.431195915,17266.59342,6064.05
1989-01-02,66.7,24.738,6.180025071,21218.70287,6130.75
1989-01-03,69.83,24.738,6.507968226,21218.70287,6200.58
1989-01-04,76.7,24.738,6.945758192,21218.70287,6277.28
1989-01-05,60.2,24.738,6.888851243,21218.70287,6337.48
1989-01-06,66.27,25.125,7.733534146,33424.76868,6403.75
1989-01-07,61.68,25.125,7.483556737,33424.76868,6465.43
1989-01-08,77.54,25.125,6.407311427,33424.76868,6542.97
1989-01-09,69.27,25.125,7.123894221,33424.76868,6612.240000000001
1989-01-10,75.49,25.028,7.046952699,13224.93564,6687.7300000000005
1989-01-11,62.87,25.028,6.81231615,13224.93564,6750.6
1989-01-12,78.41,25.028,6.608627519,13224.93564,6829.01
1989-01-13,57.3,25.028,6.289591586,13224.93564,6886.31
1989-01-14,54.57,25.416,7.890893227,26362.96501,6940.88
1989-01-15,60.57,25.416,7.969633598,26362.96501,7001.45
1989-01-16,18.0,25.416,7.215534794,26362.96501,7019.45
1989-01-17,79.35,25.416,7.510593302,26362.96501,7098.8
1989-01-18,74.28,24.931,7.334071506,15193.41347,7173.08
1989-01-19,73.86,24.931,6.497345387,15193.41347,7246.94
1989-01-20,52.23,24.931,6.155366504,15193.41347,7299.169999999999
1989-01-21,69.92,24.931,6.940699504,15193.41347,7369.089999999999
1989-01-22,54.98,25.125,7.153787095,15196.22999,7424.069999999999
1989-01-23,77.52,25.125,6.20824855,15196.22999,7501.589999999999
1989-01-24,60.32,25.125,7.821094355,15196.22999,7561.909999999999
1989-01-25,5.37,25.125,6.808362092,15196.22999,7567.279999999999
1989-01-26,58.96,24.931,6.866054185,19677.89247,7626.239999999999
1989-01-27,60.27,24.931,7.602677222,19677.89247,7686.509999999999
1989-01-28,67.48,24.931,6.41581772,19677.89247,7753.989999999999
1989-01-29,60.08,24.931,6.280645127,19677.89247,7814.069999999999
1989-01-30,50.16,25.028,6.80661279,22326.89205,7864.229999999999
1989-01-31,63.68,25.028,7.823473534,22326.89205,7927.909999999999
1989-02-01,73.68,25.028,6.165051766,22326.89205,8001.589999999999
1989-02-02,62.12,25.028,7.696658879,22326.89205,8063.709999999999
1989-02-03,68.09,25.513,6.979094559,32555.85254,8131.799999999999
1989-02-04,68.31,25.513,7.044892996,32555.85254,8200.109999999999
1989-02-05,54.59,25.513,7.075867137,32555.85254,8254.699999999999
1989-02-06,27.0,25.513,6.029160943,32555.85254,8281.699999999999
1989-02-07,12.0,25.028,7.353808738,14787.20626,8293.699999999999
1989-02-08,60.14,25.028,7.109926161,14787.20626,8353.839999999998
1989-02-09,55.49,25.028,7.744488035,14787.20626,8409.329999999998
1989-02-10,63.35,25.028,7.727773272,14787.20626,8472.679999999998
1989-02-11,73.24,25.319,6.89940665,19620.54533,8545.919999999998
1989-02-12,65.48,25.319,6.651765073,19620.54533,8611.399999999998
1989-02-13,19.0,25.319,7.442552474,19620.54533,8630.399999999998
1989-02-14,52.02,25.319,6.803092861,19620.54533,8682.419999999998
1989-02-15,73.29,25.416,6.261605213,24752.07246,8755.71
1989-02-16,70.77,25.416,6.74466314,24752.07246,8826.48
1989-02-17,72.41,25.416,6.57087706,24752.07246,8898.89
1989-02-18,65.34,25.416,7.129654718,24752.07246,8964.23
1989-02-19,64.96,25.513,7.996064606,17281.97517,9029.189999999999
1989-02-20,60.57,25.513,6.733703153,17281.97517,9089.759999999998
1989-02-21,77.3,25.513,7.369829408,17281.97517,9167.059999999998
1989-02-22,66.8,25.513,6.534438167,17281.97517,9233.859999999997
1989-02-23,63.61,25.708,7.524368241,19942.27322,9297.469999999998
1989-02-24,70.82,25.708,7.33236682,19942.27322,9368.289999999997
1989-02-25,79.76,25.708,6.265523617,19942.27322,9448.049999999997
1989-02-26,53.16,25.708,7.161651547,19942.27322,9501.209999999997
1989-02-27,67.65,25.513,7.75011224,24683.72357,9568.859999999997
1989-02-28,39.0,25.513,7.836243291,24683.72357,9607.859999999997
1989-03-01,55.1,25.513,7.702871654,24683.72357,9662.959999999997
1989-03-02,54.86,25.513,7.057175362,24683.72357,9717.819999999998
1989-03-03,59.9,25.513,7.974646784,11703.92391,9777.719999999998
1989-03-04,77.6,25.513,7.876910391,11703.92391,9855.319999999998
1989-03-05,63.28,25.513,7.164539326,11703.92391,9918.599999999999
1989-03-06,76.2,25.513,6.199757454,11703.92391,9994.8
1989-03-07,59.18,26.39,6.004371399,16658.8765,10053.98
1989-03-08,75.41,26.39,6.668504043,16658.8765,10129.39
1989-03-09,17.79,26.39,7.188361157,16658.8765,10147.18
1989-03-10,52.29,26.39,7.037936581,16658.8765,10199.470000000001
1989-03-11,64.56,26.781,7.21844829,28780.34043,10264.03
1989-03-12,74.68,26.781,6.047734129,28780.34043,10338.710000000001
